13:21:04,957 ERROR [Steps$StdOutErrLog] ** Parsing error, line 21, uri file:/home/student/Documents/KoDEgen-master/Examples/ATM/ATM.xml
13:21:04,958 ERROR [Steps$StdOutErrLog]  The element type "class" must be terminated by the matching end-tag "</class>".
13:21:05,865 INFO  [Loggers] ->0
13:21:05,870 INFO  [Steps$StdOutErrLog] java.lang.StringIndexOutOfBoundsException: String index out of range: -76
13:21:05,871 INFO  [Steps$StdOutErrLog] 	at java.lang.String.substring(String.java:1875)
13:21:05,872 INFO  [Steps$StdOutErrLog] 	at testGenerator.StepsGenerator.<init>(StepsGenerator.java:33)
13:21:05,874 INFO  [Steps$StdOutErrLog] 	at main.Steps.main(Steps.java:85)
13:21:05,874 INFO  [Steps$StdOutErrLog] 	at PorjectDan.actionPerformed(PorjectDan.java:966)
13:21:05,874 INFO  [Steps$StdOutErrLog] 	at javax.swing.AbstractButton.fireActionPerformed(AbstractButton.java:2018)
13:21:05,875 INFO  [Steps$StdOutErrLog] 	at javax.swing.AbstractButton$Handler.actionPerformed(AbstractButton.java:2341)
13:21:05,875 INFO  [Steps$StdOutErrLog] 	at javax.swing.DefaultButtonModel.fireActionPerformed(DefaultButtonModel.java:402)
13:21:05,876 INFO  [Steps$StdOutErrLog] 	at javax.swing.DefaultButtonModel.setPressed(DefaultButtonModel.java:259)
13:21:05,876 INFO  [Steps$StdOutErrLog] 	at javax.swing.plaf.basic.BasicButtonListener.mouseReleased(BasicButtonListener.java:252)
13:21:05,876 INFO  [Steps$StdOutErrLog] 	at java.awt.Component.processMouseEvent(Component.java:6505)
13:21:05,878 INFO  [Steps$StdOutErrLog] 	at javax.swing.JComponent.processMouseEvent(JComponent.java:3311)
13:21:05,879 INFO  [Steps$StdOutErrLog] 	at java.awt.Component.processEvent(Component.java:6270)
13:21:05,879 INFO  [Steps$StdOutErrLog] 	at java.awt.Container.processEvent(Container.java:2229)
13:21:05,879 INFO  [Steps$StdOutErrLog] 	at java.awt.Component.dispatchEventImpl(Component.java:4861)
13:21:05,880 INFO  [Steps$StdOutErrLog] 	at java.awt.Container.dispatchEventImpl(Container.java:2287)
13:21:05,881 INFO  [Steps$StdOutErrLog] 	at java.awt.Component.dispatchEvent(Component.java:4687)
13:21:05,881 INFO  [Steps$StdOutErrLog] 	at java.awt.LightweightDispatcher.retargetMouseEvent(Container.java:4832)
13:21:05,881 INFO  [Steps$StdOutErrLog] 	at java.awt.LightweightDispatcher.processMouseEvent(Container.java:4492)
13:21:05,882 INFO  [Steps$StdOutErrLog] 	at java.awt.LightweightDispatcher.dispatchEvent(Container.java:4422)
13:21:05,882 INFO  [Steps$StdOutErrLog] 	at java.awt.Container.dispatchEventImpl(Container.java:2273)
13:21:05,883 INFO  [Steps$StdOutErrLog] 	at java.awt.Window.dispatchEventImpl(Window.java:2719)
13:21:05,883 INFO  [Steps$StdOutErrLog] 	at java.awt.Component.dispatchEvent(Component.java:4687)
13:21:05,883 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:735)
13:21:05,884 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue.access$200(EventQueue.java:103)
13:21:05,884 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue$3.run(EventQueue.java:694)
13:21:05,885 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue$3.run(EventQueue.java:692)
13:21:05,886 INFO  [Steps$StdOutErrLog] 	at java.security.AccessController.doPrivileged(Native Method)
13:21:05,886 INFO  [Steps$StdOutErrLog] 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(ProtectionDomain.java:76)
13:21:05,887 INFO  [Steps$StdOutErrLog] 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(ProtectionDomain.java:87)
13:21:05,887 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue$4.run(EventQueue.java:708)
13:21:05,888 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue$4.run(EventQueue.java:706)
13:21:05,888 INFO  [Steps$StdOutErrLog] 	at java.security.AccessController.doPrivileged(Native Method)
13:21:05,888 INFO  [Steps$StdOutErrLog] 	at java.security.ProtectionDomain$1.doIntersectionPrivilege(ProtectionDomain.java:76)
13:21:05,889 INFO  [Steps$StdOutErrLog] 	at java.awt.EventQueue.dispatchEvent(EventQueue.java:705)
13:21:05,892 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:242)
13:21:05,893 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:161)
13:21:05,893 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:150)
13:21:05,893 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:146)
13:21:05,893 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:138)
13:21:05,893 INFO  [Steps$StdOutErrLog] 	at java.awt.EventDispatchThread.run(EventDispatchThread.java:91)
